"X"	"p"	"dist"
1	0.34294	0.1
2	0.05219	0.2
3	0.44483	0.2
2	0.05964	0.7
1	0.06064	0.7
1	0.11531	0.7
3	0.41799	0.7
3	0.47515	0.7
1	0.06064	1.3
3	0.47018	1.4
2	0.13867	1.4
2	0.33698	1.4
2	0.23658	1.5
3	0.15358	1.6
2	0.30616	1.7
2	0.19433	1.7
2	0.21223	1.9
2	0.24254	1.9
2	0.05915	1.9
2	0.09891	1.9
1	0.11282	1.9
2	0.2336	1.9
1	0.08648	1.9
3	0.42793	1.9
2	0.24602	1.9
1	0.084	1.9
2	0.27435	1.9
2	0.21173	2
2	0.26889	2
1	0.14215	2
3	0.23956	2
3	0.23956	2
1	0.05467	2
1	0.1004	2
3	0.30268	2
3	0.42396	2
2	0.13767	2
3	0.37276	2
2	0.11928	2
1	0.08449	2
1	0.05517	2
3	0.31809	2
3	0.42197	2
2	0.05517	2
1	0.12575	2
1	0.0994	2.1
3	0.43241	2.1
2	0.2008	2.2
2	0.20179	2.2
1	0.29374	2.2
1	0.10984	2.2
1	0.09145	2.2
1	0.14414	2.2
2	0.15606	2.3
1	0.09891	2.3
1	0.05417	2.3
2	0.10586	2.4
2	0.13022	2.4
2	0.2167	2.4
2	0.22962	2.4
2	0.24105	2.5
3	0.47863	2.5
2	0.10089	2.5
2	0.11829	2.5
2	0.21123	2.5
3	0.33598	2.5
3	0.32207	2.5
1	0.11481	2.5
2	0.26342	2.5
2	0.25795	2.5
1	0.07406	2.5
1	0.12624	2.6
1	0.37525	2.6
2	0.14563	2.6
1	0.09443	2.7
2	0.11879	2.7
2	0.22316	2.8
2	0.29076	2.8
2	0.19284	2.8
3	0.17396	2.8
1	0.08648	2.8
1	0.09592	2.8
3	0.26839	2.9
1	0.12873	2.9
1	0.16948	2.9
1	0.10239	2.9
3	0.36431	3
1	0.08847	3.3
1	0.05219	3.3
3	0.47117	3.7
3	0.35537	3.7
2	0.37922	3.8
1	0.2495	3.9
3	0.44433	3.9
2	0.17843	4.2
1	0.08151	4.3
2	0.16302	4.3
1	0.06511	4.6
2	0.11581	4.7
2	0.21819	4.8
1	0.10785	4.9
2	0.32704	4.9
2	0.26491	4.9
2	0.07356	4.9
3	0.34791	4.9
2	0.28976	4.9
1	0.17893	4.9
1	0.14761	4.9
2	0.32207	4.9
2	0.10934	4.9
1	0.1839	4.9
1	0.2326	4.9
1	0.05517	4.9
1	0.18588	4.9
1	0.29374	4.9
2	0.05964	5.1
2	0.09294	5.1
2	0.05964	5.1
2	0.25596	5.1
2	0.10736	5.6
2	0.09791	5.6
1	0.16998	6
2	0.13917	6
3	0.38171	6
1	0.20328	6.1
3	0.34443	6.1
1	0.09046	6.1
3	0.45676	6.1
1	0.05119	6.1
1	0.11183	6.1
3	0.23608	6.1
3	0.38072	6.1
1	0.11183	6.1
3	0.46173	6.1
1	0.08996	6.1
1	0.12624	6.1
1	0.16352	6.2
2	0.42147	6.2
1	0.11829	6.2
2	0.31113	6.2
1	0.10835	6.2
1	0.08549	6.4
1	0.07207	6.5
3	0.26143	6.5
1	0.09095	6.5
3	0.26541	6.5
3	0.43688	6.5
3	0.44235	6.5
1	0.25547	6.5
1	0.14264	6.6
3	0.47515	6.6
2	0.25547	6.6
2	0.22316	6.6
2	0.15557	6.6
2	0.24404	6.9
3	0.33748	6.9
2	0.05517	6.9
2	0.30169	6.9
1	0.09046	6.9
3	0.37475	6.9
1	0.13817	6.9
1	0.05915	6.9
3	0.22813	6.9
1	0.14563	6.9
3	0.21869	6.9
1	0.15457	6.9
3	0.25398	6.9
1	0.17545	6.9
1	0.19583	6.9
1	0.09245	6.9
3	0.47913	6.9
3	0.3166	6.9
3	0.31909	6.9
3	0.37177	6.9
1	0.0825	6.9
3	0.17843	6.9
3	0.19135	6.9
1	0.14066	6.9
3	0.18539	6.9
1	0.06014	6.9
3	0.34841	6.9
1	0.19483	7
2	0.21769	7
1	0.1332	7.1
3	0.33002	7.1
1	0.05815	7.1
2	0.11083	7.1
2	0.31113	7.1
2	0.0507	7.1
2	0.45676	7.1
1	0.40706	7.1
2	0.44235	7.1
2	0.06064	7.1
2	0.45577	7.1
1	0.38917	7.1
2	0.06561	7.1
1	0.1168	7.2
2	0.16899	7.2
2	0.13817	7.2
2	0.11282	7.2
3	0.40358	7.2
2	0.14115	7.2
2	0.14414	7.2
2	0.1173	7.2
1	0.14463	7.2
3	0.27187	7.2
3	0.46968	7.2
1	0.15159	7.2
2	0.38171	7.5
2	0.18837	7.6
1	0.05318	7.6
2	0.14612	7.6
2	0.11779	7.7
3	0.32803	7.7
1	0.0994	7.8
1	0.08946	7.8
1	0.06461	7.9
3	0.36133	7.9
3	0.42247	8
3	0.30517	8.1
1	0.05268	8.1
3	0.24702	8.1
2	0.10636	8.2
3	0.32555	8.2
2	0.26789	8.2
2	0.11431	8.2
2	0.27038	8.2
1	0.10338	8.2
2	0.24155	8.2
1	0.09493	8.2
2	0.12575	8.2
1	0.17893	8.2
1	0.16849	8.3
3	0.18241	8.4
2	0.44682	8.4
2	0.38419	8.4
1	0.28429	8.5
1	0.20726	8.5
2	0.33201	8.5
2	0.42097	8.6
2	0.12376	8.6
1	0.27237	8.6
2	0.14364	8.7
2	0.29523	8.7
2	0.18887	8.7
2	0.33101	8.7
1	0.14861	8.7
2	0.08996	8.7
1	0.0994	8.7
2	0.22565	8.7
2	0.07903	8.7
1	0.09692	8.7
1	0.16402	8.7
1	0.05964	8.8
1	0.08648	8.8
1	0.27237	8.8
3	0.27435	8.8
1	0.18042	8.8
3	0.33052	8.8
1	0.15308	9
2	0.18887	9.1
1	0.16402	9.1
1	0.05268	9.1
2	0.06163	9.1
2	0.27783	9.1
1	0.1998	9.1
1	0.06909	9.1
2	0.05815	9.1
1	0.05666	9.1
2	0.27584	9.1
2	0.42893	9.2
2	0.46372	9.2
2	0.14066	9.2
1	0.13817	9.2
1	0.08549	9.2
2	0.17545	9.2
1	0.12028	9.2
2	0.17545	9.2
2	0.47018	9.2
1	0.10388	9.2
2	0.17744	9.2
1	0.27485	9.2
2	0.41252	9.2
2	0.13718	9.2
1	0.24602	9.2
1	0.14215	9.2
1	0.07604	9.2
1	0.14861	9.2
1	0.29523	9.2
2	0.34791	9.2
3	0.41153	9.2
1	0.07157	9.2
2	0.2669	9.2
2	0.07803	9.2
3	0.36083	9.2
1	0.07157	9.2
3	0.2838	9.3
1	0.05467	9.3
2	0.24056	9.3
2	0.24056	9.3
2	0.29622	9.3
1	0.05616	9.3
1	0.05169	9.3
1	0.05567	9.3
2	0.20825	9.3
2	0.25944	9.3
1	0.05517	9.3
2	0.20328	9.3
2	0.09294	9.3
2	0.23708	9.3
1	0.13817	9.3
2	0.084	9.3
1	0.12227	9.3
3	0.3161	9.3
2	0.22614	9.3
2	0.09046	9.3
2	0.09046	9.3
1	0.25298	9.3
1	0.084	9.3
3	0.10189	9.3
3	0.35785	9.3
2	0.15109	9.4
2	0.43638	9.4
1	0.26392	9.4
1	0.42594	9.4
1	0.13171	9.5
1	0.11183	9.5
3	0.31461	9.5
3	0.49155	9.5
3	0.49155	9.5
1	0.06412	9.5
1	0.13072	9.5
1	0.06958	9.5
3	0.18688	9.5
1	0.20477	9.5
1	0.31213	9.5
3	0.36879	9.6
3	0.43638	9.6
1	0.3504	9.6
1	0.22167	9.6
3	0.49404	9.6
3	0.30666	9.7
2	0.05964	9.7
3	0.26491	9.8
2	0.2997	9.8
1	0.0661	9.8
2	0.09791	9.8
2	0.36133	9.8
2	0.16451	9.8
2	0.2838	9.8
1	0.09692	9.8
2	0.14165	9.9
1	0.20427	9.9
2	0.13767	9.9
2	0.42147	9.9
2	0.33847	9.9
1	0.05567	9.9
1	0.16948	9.9
1	0.28926	9.9
2	0.12078	9.9
2	0.3161	10
2	0.25746	10
3	0.29722	10
1	0.05467	10.1
2	0.05368	10.1
3	0.37475	10.1
2	0.2341	10.1
3	0.2167	10.2
1	0.09195	10.2
1	0.27932	10.4
3	0.15408	10.4
3	0.11531	10.4
1	0.11928	10.5
2	0.0994	10.5
3	0.4006	10.7
2	0.21173	10.7
1	0.1675	11.1
2	0.23012	11.1
1	0.09095	11.2
1	0.05915	11.2
1	0.13419	11.2
1	0.09742	11.2
1	0.09394	11.2
1	0.10686	11.2
3	0.44781	11.2
1	0.06412	11.2
1	0.20924	11.2
2	0.26143	11.2
1	0.05964	11.2
1	0.07107	11.2
1	0.16054	11.2
3	0.29871	11.2
1	0.08698	11.2
1	0.07058	11.2
3	0.38668	11.2
3	0.45577	11.2
1	0.19682	11.2
1	0.19085	11.2
3	0.45676	11.2
1	0.10984	11.2
2	0.24056	11.2
1	0.15706	11.2
1	0.07704	11.3
3	0.26392	11.5
3	0.3499	11.6
3	0.43091	11.6
2	0.09195	11.6
3	0.17296	11.6
3	0.29871	11.6
1	0.20825	11.6
1	0.17097	11.7
3	0.38867	11.9
3	0.46918	11.9
2	0.3996	12.3
2	0.07654	12.3
1	0.32505	12.3
2	0.43837	12.5
2	0.16501	12.5
2	0.23907	12.6
2	0.08698	12.6
2	0.18837	12.6
1	0.0671	12.6
2	0.12326	12.7
3	0.2674	12.7
3	0.34742	12.7
1	0.12227	12.7
1	0.07753	12.7
2	0.06014	12.7
3	0.34791	12.7
3	0.34394	12.7
1	0.10885	12.8
3	0.40358	12.8
2	0.31958	12.8
1	0.21968	12.8
2	0.32952	12.8
2	0.42346	12.8
2	0.11034	12.8
2	0.36531	13.1
2	0.29821	13.1
1	0.05865	13.1
3	0.37326	13.2
2	0.1993	13.2
1	0.32604	13.2
1	0.09145	13.3
2	0.26491	13.3
1	0.08946	13.3
2	0.36183	13.3
2	0.05169	13.3
1	0.05915	13.4
3	0.39911	13.4
2	0.34046	13.4
2	0.27187	13.4
3	0.39662	13.4
1	0.25348	13.4
2	0.06163	13.4
3	0.14662	13.4
2	0.05616	13.4
1	0.15805	13.4
3	0.48012	13.4
1	0.13917	13.4
3	0.46322	13.5
1	0.11431	13.5
1	0.08052	13.5
1	0.09742	13.5
2	0.15308	13.5
1	0.07903	13.5
2	0.05567	13.5
2	0.23509	13.5
1	0.08449	13.5
2	0.25994	13.5
3	0.38767	13.5
1	0.30169	13.5
1	0.05716	13.5
1	0.05119	13.5
